guest_id,guest_name,nationality,preferred_language,loyalty_level,is_returning_guest
G00001,Elif Ivanov,Turkish,Turkish,5,0
G00002,George Kaya,British,English,5,0
G00003,Emre Taylor,Turkish,Turkish,4,0
G00004,Ahmet Smith,Turkish,Turkish,4,0
G00005,Ece Taylor,Turkish,Turkish,3,0
G00006,Ayşe Ivanov,Turkish,Turkish,2,0
G00007,Oliver Smith,British,English,2,0
G00008,Nikolai Şahin,Russian,Russian,3,1
G00009,Grace Martin,British,English,2,0
G00010,Emma Ivanov,German,German,4,0
G00011,Buse Kaya,Turkish,Turkish,2,0
G00012,Mert Dubois,Turkish,Turkish,3,0
G00013,George Müller,British,English,1,0
G00014,Can Öztürk,Turkish,Turkish,4,0
G00015,Mert Smith,Turkish,Turkish,4,0
G00016,Ahmet Yılmaz,Turkish,Turkish,5,0
G00017,Oliver Kaya,British,English,3,0
G00018,Harry Weber,British,English,3,0
G00019,Mert Petrov,Turkish,Turkish,3,0
G00020,Harry Smith,British,English,4,0
G00021,Sophie Brown,British,English,5,0
G00022,Emre Smirnov,Turkish,Turkish,2,0
G00023,Buse Weber,Turkish,Turkish,2,0
G00024,Can Wilson,Turkish,Turkish,5,0
G00025,Grace Martin,British,English,1,0
G00026,Zeynep Smirnov,Turkish,Turkish,2,0
G00027,George Müller,British,English,3,0
G00028,Jack Şahin,British,English,5,0
G00029,Irina Jones,Russian,Russian,4,0
G00030,Emre Petrov,Turkish,Turkish,4,0
G00031,Alice Şahin,French,French,2,0
G00032,Emily Şahin,British,English,5,0
G00033,Can Yılmaz,Turkish,Turkish,3,0
G00034,Grace Schmidt,British,English,5,1
G00035,Ahmet Smirnov,Turkish,Turkish,3,0
G00036,Mert Smirnov,Turkish,Turkish,4,0
G00037,Harry Dubois,British,English,5,0
G00038,Zeynep Martin,Turkish,Turkish,1,0
G00039,Can Petrov,Turkish,Turkish,4,0
G00040,Buse Müller,Turkish,Turkish,5,0
G00041,Sofia Yılmaz,Russian,Russian,4,0
G00042,Paul Müller,German,German,3,0
G00043,Harry Dubois,British,English,1,0
G00044,Ece Smith,Turkish,Turkish,3,0
G00045,Laura Yılmaz,German,German,3,1
G00046,Lukas Martin,German,German,5,0
G00047,Buse Smith,Turkish,Turkish,3,0
G00048,Can Şahin,Turkish,Turkish,3,0
G00049,Mehmet Dubois,Turkish,Turkish,3,0
G00050,Can Öztürk,Turkish,Turkish,2,0
G00051,Grace Taylor,British,English,3,0
G00052,Grace Smith,British,English,3,0
G00053,Grace Schmidt,British,English,3,0
G00054,Sophie Kaya,British,English,3,0
G00055,Anna Öztürk,German,German,3,0
G00056,Emily Müller,British,English,4,0
G00057,Oliver Jones,British,English,2,0
G00058,James Dubois,British,English,1,0
G00059,Ayşe Wilson,Turkish,Turkish,4,0
G00060,Max Schmidt,German,German,4,0
G00061,Elif Weber,Turkish,Turkish,4,0
G00062,Emre Öztürk,Turkish,Turkish,4,0
G00063,Felix Ivanov,German,German,1,0
G00064,Leon Demir,German,German,2,0
G00065,Olivia Martin,British,English,4,1
G00066,George Smith,British,English,1,0
G00067,Dmitri Öztürk,Russian,Russian,2,0
G00068,Emily Dubois,British,English,1,0
G00069,Sofia Ivanov,Russian,Russian,2,0
G00070,Ayşe Jones,Turkish,Turkish,2,0
G00071,Harry Martin,British,English,2,0
G00072,Mert Martin,Turkish,Turkish,1,0
G00073,Emily Demir,British,English,3,1
G00074,Gabriel Müller,French,French,2,0
G00075,Zeynep Müller,Turkish,Turkish,2,0
G00076,Oliver Smith,British,English,3,0
G00077,Elena Müller,Russian,Russian,4,0
G00078,Ece Weber,Turkish,Turkish,1,0
G00079,Mert Brown,Turkish,Turkish,5,0
G00080,Lea Smith,French,French,2,0
G00081,Elif Müller,Turkish,Turkish,3,0
G00082,Mert Şahin,Turkish,Turkish,1,0
G00083,James Demir,British,English,4,0
G00084,Emma Dubois,British,English,4,0
G00085,Mert Weber,Turkish,Turkish,5,0
G00086,Elif Demir,Turkish,Turkish,2,0
G00087,Leon Taylor,German,German,3,0
G00088,George Weber,British,English,3,0
G00089,Laura Jones,German,German,3,0
G00090,Oliver Martin,British,English,3,0
G00091,Mert Petrov,Turkish,Turkish,2,0
G00092,Emre Martin,Turkish,Turkish,3,0
G00093,Ece Ivanov,Turkish,Turkish,2,0
G00094,Emily Petrov,British,English,2,0
G00095,Emre Martin,Turkish,Turkish,4,0
G00096,Olivia Taylor,British,English,2,0
G00097,Buse Yılmaz,Turkish,Turkish,3,1
G00098,James Schmidt,British,English,1,0
G00099,Ayşe Brown,Turkish,Turkish,3,0
G00100,Jack Weber,British,English,2,0
G00101,Sophie Jones,British,English,4,0
G00102,Can Smith,Turkish,Turkish,1,1
G00103,Jack Martin,British,English,3,0
G00104,Zeynep Jones,Turkish,Turkish,2,0
G00105,Emma Öztürk,British,English,3,0
G00106,George Taylor,British,English,3,0
G00107,Ece Şahin,Turkish,Turkish,2,0
G00108,Mert Ivanov,Turkish,Turkish,3,0
G00109,Ayşe Weber,Turkish,Turkish,1,0
G00110,Alice Smirnov,French,French,5,0
G00111,Mehmet Dubois,Turkish,Turkish,2,0
G00112,Buse Petrov,Turkish,Turkish,4,1
G00113,Harry Smith,British,English,2,0
G00114,Can Demir,Turkish,Turkish,3,0
G00115,Ahmet Smith,Turkish,Turkish,1,0
G00116,Ece Öztürk,Turkish,Turkish,3,0
G00117,Jack Weber,British,English,1,0
G00118,Can Yılmaz,Turkish,Turkish,3,1
G00119,Olivia Şahin,British,English,4,0
G00120,Ayşe Smirnov,Turkish,Turkish,4,0
G00121,George Müller,British,English,2,0
G00122,Laura Dubois,German,German,3,0
G00123,Emma Schmidt,German,German,1,0
G00124,Jack Jones,British,English,3,0
G00125,Zeynep Wilson,Turkish,Turkish,3,0
G00126,Can Dubois,Turkish,Turkish,3,0
G00127,Maria Şahin,Russian,Russian,2,0
G00128,James Ivanov,British,English,3,1
G00129,Ece Taylor,Turkish,Turkish,3,0
G00130,Ahmet Brown,Turkish,Turkish,5,0
G00131,Mehmet Ivanov,Turkish,Turkish,2,0
G00132,Jack Öztürk,British,English,4,0
G00133,Can Petrov,Turkish,Turkish,4,0
G00134,Mert Dubois,Turkish,Turkish,2,0
G00135,Elif Jones,Turkish,Turkish,5,0
G00136,Paul Jones,German,German,1,0
G00137,George Demir,British,English,3,0
G00138,Ayşe Smirnov,Turkish,Turkish,3,0
G00139,Grace Weber,British,English,3,0
G00140,Buse Demir,Turkish,Turkish,3,0
G00141,George Schmidt,British,English,2,0
G00142,Felix Wilson,German,German,4,0
G00143,Grace Weber,British,English,2,0
G00144,Zeynep Jones,Turkish,Turkish,3,0
G00145,Sophie Öztürk,German,German,3,0
G00146,Sophie Dubois,British,English,5,0
G00147,Mehmet Yılmaz,Turkish,Turkish,3,0
G00148,Mert Martin,Turkish,Turkish,2,0
G00149,Mehmet Demir,Turkish,Turkish,3,0
G00150,Ece Yılmaz,Turkish,Turkish,4,0
G00151,Emma Şahin,British,English,5,0
G00152,Harry Schmidt,British,English,2,0
G00153,Buse Wilson,Turkish,Turkish,2,0
G00154,Emre Smirnov,Turkish,Turkish,1,0
G00155,Lukas Jones,German,German,4,0
G00156,Jack Şahin,British,English,4,0
G00157,Mehmet Schmidt,Turkish,Turkish,3,0
G00158,Leon Schmidt,German,German,4,0
G00159,Zeynep Müller,Turkish,Turkish,4,0
G00160,Mehmet Yılmaz,Turkish,Turkish,3,0
G00161,James Dubois,British,English,5,0
G00162,Ahmet Smirnov,Turkish,Turkish,3,0
G00163,Olivia Brown,British,English,2,0
G00164,Emma Smith,British,English,3,0
G00165,Buse Martin,Turkish,Turkish,1,0
G00166,Elif Brown,Turkish,Turkish,1,0
G00167,Zeynep Taylor,Turkish,Turkish,4,0
G00168,Max Smirnov,German,German,4,0
G00169,Emily Smith,British,English,1,0
G00170,Ahmet Öztürk,Turkish,Turkish,5,0
G00171,Sophie Brown,British,English,3,0
